priority,domain,method,core_path,capability_ids,verified_status,owner,p0_action,job_freshness_sec,notes
P0,network,GET,/network/info/publicip6,network.public_ipv6,Live,Core,bind,,Uses publicip6.sh via show_publicip(ip_version=6).
P0,network,GET,/network/interfaces,network.interfaces.ip_summary,Live,Core,bind,,UI plan incorrectly marked Gap. ip-style output.
P0,network,GET,/network/interfaces/{iface},network.eth0_ipconfig,Live,Core,bind,,Per-interface detail.
P0,network,GET,/network/ethernet/{iface}/vlan,network.vlan,Live,Core,bind,,UI plan incorrectly marked Gap.
P0,network,GET,/network/wlan/getInterfaces,"wifi.radio.interfaces; network.interfaces.wlan.summary",Deprecated,Core,repurpose,,LEGACY wpa_supplicant DBus. Reimplement via iw dev / config/status. Do not extend DBus.
P0,network,GET,/network/wlan/scan,,Deprecated,Core,repurpose,,LEGACY wpa_supplicant DBus scan. Superseded by GET /utils/wlan/scan. Path may wrap new impl then drop DBus.
P0,network,POST,/network/wlan/set-dbus,,Deprecated,Core,deprecate,,LEGACY DBus AddNetwork. Superseded by POST /network/config/ + activate. Remove P1.
P0,network,POST,/network/wlan/set,,Deprecated,Core,deprecate,,Broken stub (hardcoded testns). Superseded by config system. Remove P1.
P0,network,GET,/network/wlan/getConnected,,Deprecated,Core,repurpose,,LEGACY DBus CurrentNetwork. Reimplement via wpa_cli status. P1 connection endpoint.
P0,network,POST,/network/wlan/revert,,Live,Core,align,,Valid namespace revert. Align with POST /network/config/deactivate/{id}; not DBus.
P0,network,GET,/network/routing,network.routing_table,Gap,Core,build,,Structured ip route output.
P0,network,GET,/network/connections/tcp,network.active_tcp,Gap,Core,build,,
P0,network,GET,/network/connections/udp,network.active_udp,Gap,Core,build,,
P0,network,POST,/network/interfaces/{iface}/renew,"network.interfaces.renew_wlan0; network.interfaces.renew_eth0",Gap,Core,build,,dhclient renew.
P0,network,GET,/network/dhcp/leases,network.interfaces.dhcp_leases,Gap,Core,build,,
P0,network,GET,/network/interfaces/{iface}/link-stats,network.interfaces.eth0.link_stats,Gap,Core,build,,ethtool.
P0,network,GET,/network/wlan/usb-drivers,"network.interfaces.wlan.usb_drivers; wifi.radio.usb_drivers",Gap,Core,build,,
P0,network,GET,/network/wlan/pci-drivers,network.interfaces.wlan.pci_drivers,Gap,Core,build,,
P0,network_config,GET,/network/config/status,,Live,Core,bind,,Namespace-aware iw dev view. Key input for wlanpi-ui adapter helper.
P0,network_config,GET,/network/config/,,Live,Core,bind,,List config ids with active flags.
P0,network_config,GET,/network/config/{id},,Live,Core,bind,,Get config. Credentials redacted in str/repr.
P0,network_config,POST,/network/config/,,Live,Core,bind,,Create NetConfig. Web-app already builds JSON.
P0,network_config,PATCH,/network/config/{id},,Live,Core,bind,,Update when deactivated.
P0,network_config,DELETE,/network/config/{id},,Live,Core,bind,,
P0,network_config,POST,/network/config/activate/{id},,Live,Core,bind,,Classic mode only for namespace ops. Returns provisioned async.
P0,network_config,POST,/network/config/deactivate/{id},,Live,Core,bind,,Revert namespace. Classic mode only.
P0,wifi,GET,/utils/wlan/scan,"wifi.scan.quick; wifi.scan.full; app.scanner.scan; app.scanner.scan_nohidden",Gap,Both,build,30,"P0 canonical scan. Namespace-aware. Auto-select single monitor adapter; if multiple monitor adapters return needsSelection candidates. UI→Core job + optional job WS."
P0,wifi,GET,/wifi/capabilities,wifi.radio.capabilities,Gap,Core,build,300,Large output; UI job cache recommended.
P0,wifi,GET,/wifi/regulatory,wifi.radio.regulatory,Gap,Core,build,,
P0,wifi,GET,/wifi/client/stations,wifi.client.stations,Gap,Core,build,,Query iface=.
P0,wifi,GET,/wifi/client/link,wifi.client.link,Gap,Core,build,,
P0,wifi,POST,/wifi/monitor/enable,wifi.monitor.enable,Gap,Core,build,,Destructive. P1 candidate if fpms2 P0 slips.
P0,wifi,POST,/wifi/monitor/disable,wifi.monitor.disable,Gap,Core,build,,Destructive. P1 candidate if fpms2 P0 slips.
P0,wifi,POST,/wifi/capture/start,wifi.capture.start,Gap,Both,build,,"REST wrapper over existing WS /streaming/capture. UI job."
P0,wifi,POST,/wifi/capture/stop,wifi.capture.stop,Gap,Core,build,,
P0,wifi,GET,/wifi/capture/status,wifi.capture.status,Gap,Core,build,,
P0,wifi,GET,/wifi/capture/files,wifi.capture.files,Gap,Core,build,,
P0,wifi,WS,/streaming/capture,,Live,Core,document,,"Existing capture WebSocket. No auth today — add before UI exposes capture jobs."
P0,bluetooth,GET,/bluetooth/status,"bt.status; bluetooth.status",Live,Core,bind,,
P0,bluetooth,POST,/bluetooth/power/on,"bt.on; bluetooth.on",Live,Core,bind,,
P0,bluetooth,POST,/bluetooth/power/off,"bt.off; bluetooth.off",Live,Core,bind,,
P0,bluetooth,POST,/bluetooth/pair,"bt.pair; bluetooth.pair",Gap,Core,build,,
P0,utils,GET,/utils/reachability,utils.reachability,Live,Core,bind,,
P0,utils,GET,/utils/usb,utils.usb,Live,Core,bind,,
P0,utils,GET,/utils/ufw,utils.ufw,Live,Core,bind,,
P0,utils,GET,/utils/speedtest,utils.speedtest,Gap,Both,build,10,Long-running. UI→Core job + job WS.
P0,utils,GET,/utils/cloud-test/{vendor},"cloud.arista; cloud.aruba; cloud.extreme; cloud.meraki; cloud.mist; cloud.ruckus",Gap,Both,build,60,Per-vendor reachability. UI→Core job.
P0,utils,POST,/utils/blinker/start,"utils.blinker.start; utils.port_blinker.start",Gap,Core,build,,Port blinker code exists commented out in utils_api.
P0,utils,POST,/utils/blinker/stop,"utils.blinker.stop; utils.port_blinker.stop",Gap,Core,build,,
P0,utils,GET,/utils/blinker/status,utils.blinker.status,Gap,Core,build,,
P0,utils,POST,/utils/freeradius/test,utils.freeradius.test,Gap,Core,build,,
P0,profiler,GET,/profiler/status,"app.profiler.status; apps.profiler.status",Live,Core,bind,,
P0,profiler,POST,/profiler/start,"app.profiler.start; apps.profiler.start_*",Live,Core,bind,,Variants via request body.
P0,profiler,POST,/profiler/stop,app.profiler.stop,Live,Core,bind,,
P1,profiler,POST,/profiler/purge/reports,apps.profiler.purge_reports,Gap,Core,defer,,
P1,profiler,POST,/profiler/purge/files,apps.profiler.purge_files,Gap,Core,defer,,
P1,profiler,GET,/profiler/profiles,app.profiler.profiles,Gap,Core,defer,,
P1,scanner,GET,/scanner/files,app.scanner.files,Gap,Core,defer,,
P1,scanner,POST,/scanner/scan/csv,app.scanner.scan_csv,Gap,Both,defer,60,UI→Core job.
P1,scanner,POST,/scanner/capture/start,app.scanner.pcap_start,Gap,Both,defer,,UI→Core job.
P1,scanner,POST,/scanner/capture/stop,app.scanner.pcap_stop,Gap,Core,defer,,
P1,orb,GET,/orb/wifi/interface,orb.wifi.interface,Gap,Core,defer,,Netns interface for orb-wifi.
P1,orb,POST,/orb/reset-identity,orb.reset_identity,Gap,Core,defer,,Destructive.
P1,system,GET,/system/updates,system.updates.check,Gap,Core,defer,,fpms2 only.
P1,system,POST,/system/updates/install,system.updates.install,Gap,Both,defer,,Long-running UI job.
P1,network,GET,/network/adapters/{iface}/connection,,Gap,Core,defer,,Rich wpa_state + IP. wlanpi-ui helper can use /network/config/status for P0 basic display.
P0,ui_platform,GET,/ui/menu,,UI-only,wlanpi-ui,build,,touch_menu.v1.json. Not in core.
P0,ui_platform,GET,/ui/capabilities/shared,,UI-only,wlanpi-ui,build,,
P0,ui_platform,GET,/ui/session,,UI-only,wlanpi-ui,build,,Poll fallback for UiSession.
P0,ui_platform,WS,/ui/ws,,UI-only,wlanpi-ui,build,,Bidirectional session sync.
P0,ui_platform,POST,/ui/jobs/run,,UI-only,wlanpi-ui,build,,freshnessSec dedup. Calls core workers underneath.
P0,ui_platform,WS,/ui/jobs/{id}/ws,,UI-only,wlanpi-ui,build,,Job stream + inline cancel.
P0,ui_platform,GET,/ui/adapters/summary,,UI-only,wlanpi-ui,build,,Human-readable adapter view. Composes core /network/config/* — see P0 doc.
P0,ui_platform,POST,/ui/network/config/save,,UI-only,wlanpi-ui,build,,Helper to build/save NetConfig JSON for TUI/panel clients.
P0,ui_platform,POST,/ui/network/config/activate,,UI-only,wlanpi-ui,build,,Thin wrapper over core activate with confirmation UX.
P0,capability,static,sys.help,sys.help,UI-only,wlanpi-ui,bind,,Static URL asset not core.
